
posicao: 0, cidades:
30201, 35, Mirante do Paranapanema
29401, 35, Mauá
28601, 35, Manduri
27801, 35, Lupércio
26001, 35, Junqueirópolis
25201, 35, Jarinu
24501, 35, Jaci
23701, 35, Itirapuã
22901, 35, Itapuí
21101, 35, Ipeúna
20426, 35, Ilha Comprida
20301, 35, Iguape
19501, 35, Ibirarema
18701, 35, Guarujá
17901, 35, Guaraci
16101, 35, Florínea
15301, 35, Estrela do Norte
14601, 35, Dumont
13801, 35, Diadema
12001, 35, Colina
11201, 35, Catiguá
10401, 35, Capivari
9601, 35, Campo Limpo Paulista
8801, 35, Cafelândia
7001, 35, Boituva
6201, 35, Bento de Abreu
5401, 35, Barra do Turvo
5351, 35, Barra do Chapéu
4701, 35, Balbinos
3901, 35, Arujá
2101, 35, Andradina
1301, 35, Álvares Machado
501, 35, Águas de Lindóia
5901, 33, Trajano de Moraes
4201, 33, Resende
4151, 33, Quissamã
3401, 33, Nova Friburgo
2601, 33, Mangaratiba
1876, 33, Iguaba Grande
1801, 33, Engenheiro Paulo de Frontin
951, 33, Comendador Levy Gasparian
5176, 32, Vila Valério
5101, 32, Viana
4401, 32, Rio Novo do Sul
4351, 32, Rio Bananal
3601, 32, Mucurici
2801, 32, Itapemirim
1001, 32, Boa Esperança
201, 32, Alegre
71501, 31, Mathias Lobato
70701, 31, Varginha
70651, 31, Vargem Grande do Rio Pardo
69901, 31, Ubá
68101, 31, Tapira
68051, 31, Taparuba
67301, 31, Silveirânia
66501, 31, Serra Azul de Minas
65701, 31, Senador Firmino
64001, 31, São Pedro dos Ferros
63201, 31, São José do Alegre
62401, 31, São João da Ponte
61601, 31, São Geraldo da Piedade
60801, 31, São Bento Abade
59001, 31, Santana do Riacho
58201, 31, Santa Maria do Suaçuí
57401, 31, Santa Cruz do Escalvado
56601, 31, Rubim
55801, 31, Rio Pomba
54101, 31, Recreio
53301, 31, Presidente Kubitschek
52501, 31, Pouso Alegre
51701, 31, Poço Fundo
50901, 31, Piranguçu
49101, 31, Pedralva
48301, 31, Paula Cândido
47501, 31, Passabém
46701, 31, Palma
45901, 31, Ouro Branco
45851, 31, Oratórios
44201, 31, Nacip Raydan
43401, 31, Monte Sião
42601, 31, Monsenhor Paulo
41801, 31, Minas Novas
40001, 31, Mariana
39201, 31, Malacacheta
38401, 31, Leopoldina
38351, 31, Leme do Prado
37601, 31, Lagoa Santa
36801, 31, Juramento
35076, 31, Jampruca
35001, 31, Jaguaraçu
34301, 31, Itumirim
33501, 31, Itapecerica
32701, 31, Itambacuri
31901, 31, Itabirito
30101, 31, Igarapé
30051, 31, Icaraí de Minas
29301, 31, Iapu
28501, 31, Guarará
27701, 31, Governador Valadares
26901, 31, Frei Inocêncio
25101, 31, Extrema
24401, 31, Espírito Santo do Dourado
23601, 31, Elói Mendes
22801, 31, Dom Viçoso
21001, 31, Datas
20201, 31, Cristais
20151, 31, Crisólita
19401, 31, Coronel Fabriciano
18601, 31, Contagem
17876, 31, Confins
17801, 31, Conceição dos Ouros
16001, 31, Chalé
